time,temp,dwpt,rhum,wdir,wspd,pres,coco,DAY(time),MONTH(time),WEEKDAY(time),YEAR(time),PM10,PM2_5
2024-04-30 00:00:00,24.4,18.3,69.0,311.0,21.6,1009.4,1,30.0,4.0,1.0,2024.0,89.2,30.0
2024-04-30 01:00:00,24.1,13.3,51.0,324.0,19.1,1010.2,1,30.0,4.0,1.0,2024.0,89.9,29.5
2024-04-30 02:00:00,25.1,13.6,49.0,328.0,19.4,1010.3,1,30.0,4.0,1.0,2024.0,93.6,30.4
2024-04-30 03:00:00,27.9,10.1,33.0,334.0,16.2,1010.6,1,30.0,4.0,1.0,2024.0,109.4,32.7
2024-04-30 12:00:00,34.2,6.5,18.0,248.0,26.3,1005.7,1,30.0,4.0,1.0,2024.0,121.5,23.2
2024-04-30 13:00:00,32.5,7.4,21.0,251.0,27.7,1005.8,3,30.0,4.0,1.0,2024.0,105.7,25.3
2024-04-30 14:00:00,30.1,11.1,31.0,260.0,29.9,1005.9,3,30.0,4.0,1.0,2024.0,92.4,27.7
2024-04-30 15:00:00,29.2,13.8,39.0,266.0,31.0,1006.5,2,30.0,4.0,1.0,2024.0,94.8,29.5
2024-04-30 16:00:00,29.1,14.9,42.0,269.0,33.5,1006.8,1,30.0,4.0,1.0,2024.0,125.3,31.0
2024-04-30 23:00:00,23.9,-1.9,18.0,321.0,22.0,1006.3,1,30.0,4.0,1.0,2024.0,130.4,36.3
2024-05-01 12:00:00,32.6,3.5,16.0,250.0,25.2,1004.0,1,1.0,5.0,2.0,2024.0,130.4,27.0
2024-05-01 21:00:00,25.4,18.3,65.0,299.0,20.2,1005.0,3,1.0,5.0,2.0,2024.0,115.9,41.7
2024-05-01 22:00:00,24.0,18.2,70.0,320.0,17.6,1004.5,3,1.0,5.0,2.0,2024.0,100.6,38.8
2024-05-01 23:00:00,22.7,18.0,75.0,318.0,18.4,1004.5,3,1.0,5.0,2.0,2024.0,86.4,35.7
2024-05-02 00:00:00,20.8,18.2,85.0,346.0,15.8,1005.2,3,2.0,5.0,3.0,2024.0,108.5,42.8
2024-05-02 12:00:00,31.9,16.2,39.0,254.0,29.2,1003.8,1,2.0,5.0,3.0,2024.0,125.3,37.3
2024-05-02 13:00:00,30.3,18.4,49.0,257.0,26.3,1004.1,3,2.0,5.0,3.0,2024.0,117.8,34.2
2024-05-02 14:00:00,28.6,22.4,69.0,262.0,25.2,1005.0,3,2.0,5.0,3.0,2024.0,99.4,29.0
2024-05-02 15:00:00,27.6,23.4,78.0,258.0,18.4,1006.3,3,2.0,5.0,3.0,2024.0,85.7,23.7
2024-05-02 16:00:00,27.0,23.7,82.0,263.0,15.1,1006.9,3,2.0,5.0,3.0,2024.0,75.4,20.0
2024-05-02 17:00:00,26.9,23.6,82.0,262.0,11.9,1007.4,3,2.0,5.0,3.0,2024.0,69.4,17.6
2024-05-02 18:00:00,27.0,23.5,81.0,268.0,13.3,1007.4,3,2.0,5.0,3.0,2024.0,65.4,15.7
2024-05-02 19:00:00,26.6,23.5,83.0,265.0,14.4,1007.2,3,2.0,5.0,3.0,2024.0,57.7,13.7
2024-05-02 20:00:00,26.1,24.0,88.0,259.0,16.2,1006.4,3,2.0,5.0,3.0,2024.0,52.4,11.3
2024-05-02 21:00:00,26.0,23.9,88.0,258.0,16.2,1006.1,3,2.0,5.0,3.0,2024.0,42.6,10.1
2024-05-02 22:00:00,26.0,23.7,87.0,267.0,19.1,1006.2,3,2.0,5.0,3.0,2024.0,35.3,9.3
2024-05-02 23:00:00,25.9,24.1,90.0,267.0,21.2,1006.2,3,2.0,5.0,3.0,2024.0,29.7,9.3
2024-05-03 00:00:00,25.8,24.6,93.0,269.0,24.1,1006.3,3,3.0,5.0,4.0,2024.0,24.6,9.3
2024-05-03 01:00:00,25.9,25.0,95.0,277.0,21.2,1006.0,3,3.0,5.0,4.0,2024.0,23.5,10.0
2024-05-03 02:00:00,26.8,24.8,89.0,279.0,18.7,1006.4,3,3.0,5.0,4.0,2024.0,28.2,12.3
2024-05-03 03:00:00,27.8,24.4,82.0,274.0,14.8,1006.7,3,3.0,5.0,4.0,2024.0,33.5,14.3
2024-05-03 04:00:00,29.3,24.0,73.0,264.0,19.8,1007.3,3,3.0,5.0,4.0,2024.0,36.2,15.0
2024-05-03 05:00:00,29.4,24.5,75.0,268.0,23.8,1007.7,3,3.0,5.0,4.0,2024.0,41.3,15.1
2024-05-03 06:00:00,29.3,24.6,76.0,270.0,24.5,1007.8,3,3.0,5.0,4.0,2024.0,52.4,15.8
2024-05-03 07:00:00,29.7,24.3,73.0,263.0,20.9,1007.6,3,3.0,5.0,4.0,2024.0,70.3,17.2
2024-05-03 08:00:00,31.9,23.4,61.0,266.0,26.3,1006.9,3,3.0,5.0,4.0,2024.0,92.7,19.3
2024-05-03 09:00:00,30.9,22.8,62.0,266.0,25.9,1006.2,3,3.0,5.0,4.0,2024.0,97.3,21.7
2024-05-03 10:00:00,31.8,21.6,55.0,265.0,28.8,1005.8,3,3.0,5.0,4.0,2024.0,77.1,23.1
