time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-04-30 00:00:00,24.4,18.3,69.0,0.0,,311.0,21.6,,1009.4,,1
2024-04-30 01:00:00,24.1,13.3,51.0,0.0,,324.0,19.1,,1010.2,,1
2024-04-30 02:00:00,25.1,13.6,49.0,0.0,,328.0,19.4,,1010.3,,1
2024-04-30 03:00:00,27.9,10.1,33.0,0.0,,334.0,16.2,,1010.6,,1
2024-04-30 04:00:00,31.3,0.6,14.0,0.0,,335.0,22.0,,1010.9,,1
2024-04-30 05:00:00,33.6,-5.2,8.0,0.0,,333.0,26.6,,1010.9,,1
2024-04-30 06:00:00,35.3,-5.7,7.0,0.0,,330.0,26.3,,1010.5,,1
2024-04-30 07:00:00,36.4,-4.9,7.0,0.0,,325.0,27.7,,1009.5,,1
2024-04-30 08:00:00,37.0,-4.5,7.0,0.0,,315.0,27.7,,1008.8,,1
2024-04-30 09:00:00,36.9,-4.5,7.0,0.0,,304.0,28.4,,1007.9,,1
2024-04-30 10:00:00,36.2,-3.3,8.0,0.0,,291.0,28.4,,1007.1,,1
2024-04-30 11:00:00,35.2,0.3,11.0,0.0,,270.0,27.7,,1006.5,,1
2024-04-30 12:00:00,34.2,6.5,18.0,0.0,,248.0,26.3,,1005.7,,1
2024-04-30 13:00:00,32.5,7.4,21.0,0.0,,251.0,27.7,,1005.8,,3
2024-04-30 14:00:00,30.1,11.1,31.0,0.0,,260.0,29.9,,1005.9,,3
2024-04-30 15:00:00,29.2,13.8,39.0,0.0,,266.0,31.0,,1006.5,,2
2024-04-30 16:00:00,29.1,14.9,42.0,0.0,,269.0,33.5,,1006.8,,1
2024-04-30 17:00:00,28.7,16.3,47.0,0.0,,282.0,31.3,,1008.0,,2
2024-04-30 18:00:00,28.3,15.9,47.0,0.0,,302.0,27.7,,1007.9,,2
2024-04-30 19:00:00,28.4,1.8,18.0,0.0,,326.0,25.6,,1007.5,,2
2024-04-30 20:00:00,26.8,-2.0,15.0,0.0,,326.0,24.1,,1007.1,,3
2024-04-30 21:00:00,25.7,-2.0,16.0,0.0,,324.0,22.7,,1006.6,,3
2024-04-30 22:00:00,24.6,-0.6,19.0,0.0,,321.0,21.6,,1006.1,,2
2024-04-30 23:00:00,23.9,-1.9,18.0,0.0,,321.0,22.0,,1006.3,,1
2024-05-01 00:00:00,23.3,-2.4,18.0,0.0,,331.0,21.2,,1006.4,,2
2024-05-01 01:00:00,22.4,-8.4,12.0,0.0,,337.0,18.7,,1007.3,,2
2024-05-01 02:00:00,23.6,-9.8,10.0,0.0,,328.0,18.7,,1007.7,,1
2024-05-01 03:00:00,27.2,-8.4,9.0,0.0,,321.0,18.0,,1008.1,,1
2024-05-01 04:00:00,30.0,-4.9,10.0,0.0,,326.0,26.6,,1008.0,,1
2024-05-01 05:00:00,32.2,-6.2,8.0,0.0,,328.0,31.3,,1008.1,,1
2024-05-01 06:00:00,33.7,-6.9,7.0,0.0,,325.0,31.3,,1008.0,,1
2024-05-01 07:00:00,34.7,-6.1,7.0,0.0,,319.0,29.2,,1007.4,,1
2024-05-01 08:00:00,35.3,-5.7,7.0,0.0,,307.0,27.0,,1006.5,,1
2024-05-01 09:00:00,35.8,-5.3,7.0,0.0,,298.0,26.6,,1005.5,,1
2024-05-01 10:00:00,35.6,-3.7,8.0,0.0,,284.0,27.7,,1005.0,,1
2024-05-01 11:00:00,34.8,-2.7,9.0,0.0,,268.0,27.0,,1004.5,,1
2024-05-01 12:00:00,32.6,3.5,16.0,0.0,,250.0,25.2,,1004.0,,1
2024-05-01 13:00:00,31.1,6.2,21.0,0.0,,246.0,21.6,,1004.1,,2
2024-05-01 14:00:00,29.4,9.0,28.0,0.0,,259.0,20.5,,1005.1,,1
2024-05-01 15:00:00,27.8,14.8,45.0,0.0,,248.0,20.5,,1005.7,,1
2024-05-01 16:00:00,27.3,14.7,46.0,0.0,,246.0,20.2,,1006.3,,2
2024-05-01 17:00:00,26.7,16.0,52.0,0.0,,246.0,17.6,,1006.9,,2
2024-05-01 18:00:00,26.3,16.8,56.0,0.0,,241.0,14.0,,1007.1,,2
2024-05-01 19:00:00,26.0,17.4,59.0,0.0,,241.0,15.8,,1006.5,,3
2024-05-01 20:00:00,25.7,18.4,64.0,0.0,,266.0,18.4,,1005.7,,3
2024-05-01 21:00:00,25.4,18.3,65.0,0.0,,299.0,20.2,,1005.0,,3
2024-05-01 22:00:00,24.0,18.2,70.0,0.0,,320.0,17.6,,1004.5,,3
2024-05-01 23:00:00,22.7,18.0,75.0,0.0,,318.0,18.4,,1004.5,,3
2024-05-02 00:00:00,20.8,18.2,85.0,0.0,,346.0,15.8,,1005.2,,3
2024-05-02 01:00:00,19.8,16.2,80.0,0.0,,5.0,13.3,,1005.5,,1
2024-05-02 02:00:00,22.0,14.1,61.0,0.0,,14.0,11.9,,1005.9,,3
2024-05-02 03:00:00,26.6,11.5,39.0,0.0,,15.0,10.4,,1006.3,,1
2024-05-02 04:00:00,31.0,6.1,21.0,0.0,,15.0,11.5,,1006.5,,3
2024-05-02 05:00:00,33.7,1.5,13.0,0.0,,32.0,11.5,,1006.8,,1
2024-05-02 06:00:00,35.7,-2.1,9.0,0.0,,42.0,9.4,,1006.7,,3
2024-05-02 07:00:00,36.4,-0.1,10.0,0.0,,230.0,16.9,,1006.6,,3
2024-05-02 08:00:00,35.9,7.9,18.0,0.0,,231.0,19.4,,1005.8,,3
2024-05-02 09:00:00,35.9,6.2,16.0,0.0,,243.0,21.2,,1005.0,,3
2024-05-02 10:00:00,35.8,7.8,18.0,0.0,,247.0,28.1,,1004.0,,3
2024-05-02 11:00:00,32.9,15.4,35.0,0.0,,248.0,29.9,,1003.9,,3
2024-05-02 12:00:00,31.9,16.2,39.0,0.0,,254.0,29.2,,1003.8,,1
2024-05-02 13:00:00,30.3,18.4,49.0,0.0,,257.0,26.3,,1004.1,,3
2024-05-02 14:00:00,28.6,22.4,69.0,0.0,,262.0,25.2,,1005.0,,3
2024-05-02 15:00:00,27.6,23.4,78.0,0.0,,258.0,18.4,,1006.3,,3
2024-05-02 16:00:00,27.0,23.7,82.0,0.0,,263.0,15.1,,1006.9,,3
2024-05-02 17:00:00,26.9,23.6,82.0,0.0,,262.0,11.9,,1007.4,,3
2024-05-02 18:00:00,27.0,23.5,81.0,0.0,,268.0,13.3,,1007.4,,3
2024-05-02 19:00:00,26.6,23.5,83.0,0.0,,265.0,14.4,,1007.2,,3
2024-05-02 20:00:00,26.1,24.0,88.0,0.0,,259.0,16.2,,1006.4,,3
2024-05-02 21:00:00,26.0,23.9,88.0,0.0,,258.0,16.2,,1006.1,,3
2024-05-02 22:00:00,26.0,23.7,87.0,0.0,,267.0,19.1,,1006.2,,3
2024-05-02 23:00:00,25.9,24.1,90.0,0.0,,267.0,21.2,,1006.2,,3
2024-05-03 00:00:00,25.8,24.6,93.0,0.0,,269.0,24.1,,1006.3,,3
2024-05-03 01:00:00,25.9,25.0,95.0,0.0,,277.0,21.2,,1006.0,,3
2024-05-03 02:00:00,26.8,24.8,89.0,0.0,,279.0,18.7,,1006.4,,3
2024-05-03 03:00:00,27.8,24.4,82.0,0.0,,274.0,14.8,,1006.7,,3
2024-05-03 04:00:00,29.3,24.0,73.0,0.0,,264.0,19.8,,1007.3,,3
2024-05-03 05:00:00,29.4,24.5,75.0,0.0,,268.0,23.8,,1007.7,,3
2024-05-03 06:00:00,29.3,24.6,76.0,0.0,,270.0,24.5,,1007.8,,3
2024-05-03 07:00:00,29.7,24.3,73.0,0.0,,263.0,20.9,,1007.6,,3
2024-05-03 08:00:00,31.9,23.4,61.0,0.0,,266.0,26.3,,1006.9,,3
2024-05-03 09:00:00,30.9,22.8,62.0,0.0,,266.0,25.9,,1006.2,,3
2024-05-03 10:00:00,31.8,21.6,55.0,0.0,,265.0,28.8,,1005.8,,3
2024-05-03 11:00:00,31.9,19.5,48.0,0.0,,265.0,31.0,,1005.5,,3
2024-05-03 12:00:00,31.3,20.0,51.0,0.0,,260.0,29.2,,1005.4,,3
2024-05-03 13:00:00,29.8,20.9,59.0,0.0,,253.0,25.6,,1005.4,,3
2024-05-03 14:00:00,28.9,21.9,66.0,0.0,,249.0,24.8,,1006.0,,3
2024-05-03 15:00:00,28.4,23.3,74.0,0.0,,251.0,26.6,,1006.8,,3
2024-05-03 16:00:00,28.3,22.8,72.0,0.0,,247.0,27.4,,1007.3,,3
2024-05-03 17:00:00,27.9,23.7,78.0,0.0,,255.0,25.6,,1007.9,,3
2024-05-03 18:00:00,27.6,24.5,83.0,0.0,,255.0,24.8,,1008.2,,3
2024-05-03 19:00:00,27.4,24.7,85.0,0.0,,259.0,25.2,,1008.1,,3
2024-05-03 20:00:00,27.2,24.5,85.0,0.0,,263.0,24.5,,1007.7,,3
2024-05-03 21:00:00,26.8,24.5,87.0,0.0,,273.0,24.8,,1006.9,,3
2024-05-03 22:00:00,26.7,24.4,87.0,0.0,,266.0,24.1,,1007.1,,3
2024-05-03 23:00:00,26.5,24.0,86.0,0.0,,260.0,25.6,,1007.3,,3
2024-05-04 00:00:00,26.3,24.0,87.0,0.0,,262.0,28.4,,1007.7,,3
2024-05-04 01:00:00,26.0,24.0,89.0,0.0,,276.0,30.2,,1008.4,,3
2024-05-04 02:00:00,26.7,23.6,83.0,0.0,,278.0,31.0,,1009.1,,3
2024-05-04 03:00:00,27.9,23.3,76.0,0.0,,283.0,29.9,,1009.7,,3
2024-05-04 04:00:00,28.9,22.4,68.0,0.0,,288.0,28.1,,1010.0,,3
2024-05-04 05:00:00,30.0,21.1,59.0,0.0,,288.0,27.7,,1010.2,,3
2024-05-04 06:00:00,31.0,20.0,52.0,0.0,,286.0,29.5,,1010.1,,3
2024-05-04 07:00:00,32.3,18.9,45.0,0.0,,285.0,32.4,,1009.1,,3
2024-05-04 08:00:00,32.6,19.1,45.0,0.0,,281.0,33.1,,1008.6,,3
2024-05-04 09:00:00,33.0,18.4,42.0,0.0,,276.0,33.8,,1007.9,,2
2024-05-04 10:00:00,32.9,18.7,43.0,0.0,,269.0,32.4,,1007.1,,1
2024-05-04 11:00:00,31.6,20.9,53.0,0.0,,259.0,31.3,,1006.8,,2
2024-05-04 12:00:00,30.5,22.1,61.0,0.0,,256.0,29.9,,1006.5,,3
2024-05-04 13:00:00,29.4,22.9,68.0,0.0,,254.0,28.8,,1006.8,,2
2024-05-04 14:00:00,28.3,23.0,73.0,0.0,,254.0,27.7,,1007.1,,3
2024-05-04 15:00:00,27.9,23.7,78.0,0.0,,258.0,27.0,,1007.6,,3
2024-05-04 16:00:00,27.6,24.0,81.0,0.0,,256.0,27.0,,1008.1,,3
2024-05-04 17:00:00,27.3,23.1,78.0,0.0,,252.0,23.8,,1008.7,,2
2024-05-04 18:00:00,26.9,23.6,82.0,0.0,,250.0,27.0,,1008.6,,1
2024-05-04 19:00:00,26.5,24.0,86.0,0.0,,258.0,27.4,,1008.2,,1
2024-05-04 20:00:00,26.1,24.5,91.0,0.0,,266.0,26.3,,1007.9,,1
2024-05-04 21:00:00,26.0,24.6,92.0,0.0,,272.0,27.0,,1007.3,,3
2024-05-04 22:00:00,25.7,24.5,93.0,0.0,,283.0,23.8,,1006.8,,3
2024-05-04 23:00:00,25.9,24.3,91.0,0.0,,296.0,24.1,,1007.0,,3
2024-05-05 00:00:00,26.2,23.9,87.0,0.0,,284.0,26.3,,1007.3,,3
2024-05-05 01:00:00,25.9,23.9,89.0,0.0,,277.0,27.0,,1007.4,,3
2024-05-05 02:00:00,26.7,23.8,84.0,0.0,,274.0,27.0,,1007.9,,3
2024-05-05 03:00:00,28.0,22.7,73.0,0.0,,272.0,28.1,,1008.3,,3
2024-05-05 04:00:00,29.2,22.2,66.0,0.0,,273.0,28.1,,1008.3,,3
2024-05-05 05:00:00,30.3,21.9,61.0,0.0,,274.0,27.4,,1008.4,,1
2024-05-05 06:00:00,31.3,21.8,57.0,0.0,,273.0,28.4,,1008.1,,1
2024-05-05 07:00:00,32.0,21.5,54.0,0.0,,273.0,31.0,,1007.4,,1
2024-05-05 08:00:00,32.4,21.9,54.0,0.0,,269.0,33.1,,1006.7,,1
2024-05-05 09:00:00,32.4,22.2,55.0,0.0,,268.0,32.8,,1005.8,,1
2024-05-05 10:00:00,32.2,22.0,55.0,0.0,,264.0,31.3,,1005.2,,1
2024-05-05 11:00:00,31.7,22.7,59.0,0.0,,260.0,31.7,,1004.6,,1
2024-05-05 12:00:00,30.6,23.0,64.0,0.0,,257.0,31.3,,1004.2,,1
2024-05-05 13:00:00,29.8,23.3,68.0,0.0,,254.0,29.5,,1004.4,,1
2024-05-05 14:00:00,28.3,24.5,80.0,0.0,,254.0,30.2,,1004.7,,1
2024-05-05 15:00:00,27.8,24.8,84.0,0.0,,258.0,29.9,,1005.4,,1
2024-05-05 16:00:00,27.6,24.8,85.0,0.0,,265.0,26.3,,1006.2,,1
2024-05-05 17:00:00,27.4,24.3,83.0,0.0,,269.0,24.8,,1006.7,,1
2024-05-05 18:00:00,27.2,23.9,82.0,0.0,,278.0,22.7,,1006.9,,1
2024-05-05 19:00:00,27.0,23.5,81.0,0.0,,283.0,19.1,,1006.9,,1
