iter	Passed	Remaining
0	9	1860
1	18	1868
2	27	1814
3	36	1805
4	45	1793
5	54	1776
6	64	1767
7	73	1767
8	82	1750
9	91	1735
10	99	1717
11	108	1705
12	117	1695
13	127	1688
14	136	1679
15	145	1678
16	154	1668
17	164	1658
18	173	1650
19	182	1640
20	191	1631
21	200	1621
22	209	1610
23	218	1600
24	227	1590
25	236	1584
26	245	1574
27	254	1564
28	263	1555
29	272	1545
30	281	1536
31	290	1527
32	300	1519
33	309	1510
34	318	1501
35	327	1491
36	336	1482
37	345	1472
38	354	1464
39	364	1456
40	365	1417
41	374	1410
42	383	1400
43	392	1392
44	401	1383
45	410	1374
46	420	1367
47	429	1359
48	438	1351
49	447	1343
50	457	1335
51	466	1327
52	475	1318
53	484	1309
54	493	1300
55	502	1292
56	512	1284
57	521	1276
58	530	1268
59	539	1258
60	548	1249
61	557	1240
62	566	1231
63	575	1222
64	584	1213
65	593	1205
66	602	1196
67	611	1187
68	620	1178
69	630	1170
70	638	1160
71	648	1152
72	657	1143
73	666	1134
74	676	1126
75	685	1117
76	694	1108
77	703	1099
78	712	1090
79	721	1082
80	730	1073
81	739	1063
82	747	1054
83	757	1045
84	766	1036
85	775	1027
86	784	1018
87	793	1009
88	802	1000
89	811	991
90	820	982
91	829	973
92	838	964
93	847	955
94	856	947
95	865	937
96	874	928
97	883	919
98	892	910
99	901	901
100	910	892
101	920	883
102	929	875
103	938	865
104	947	856
105	955	847
106	956	831
107	966	823
108	974	813
109	984	805
110	993	796
111	1002	787
112	1011	778
113	1020	769
114	1029	760
115	1038	751
116	1047	743
117	1056	734
118	1065	725
119	1074	716
120	1083	707
121	1092	698
122	1101	689
123	1102	675
124	1111	666
125	1119	657
126	1128	648
127	1137	639
128	1146	631
129	1155	622
130	1164	613
131	1173	604
132	1182	595
133	1191	586
134	1194	575
135	1203	566
136	1212	557
137	1221	548
138	1230	540
139	1239	531
140	1249	522
141	1258	513
142	1267	505
143	1276	496
144	1285	487
145	1290	477
146	1299	468
147	1308	459
148	1317	451
149	1326	442
150	1335	433
151	1344	424
152	1353	415
153	1362	407
154	1372	398
155	1381	389
156	1390	380
157	1399	371
158	1408	363
159	1417	354
160	1426	345
161	1436	336
162	1445	328
163	1454	319
164	1463	310
165	1472	301
166	1481	292
167	1490	283
168	1499	275
169	1508	266
170	1517	257
171	1526	248
172	1535	239
173	1544	230
174	1553	221
175	1562	213
176	1571	204
177	1580	195
178	1589	186
179	1598	177
180	1607	168
181	1615	159
182	1625	151
183	1634	142
184	1643	133
185	1652	124
186	1661	115
187	1670	106
188	1679	97
189	1688	88
190	1697	79
191	1706	71
192	1715	62
193	1724	53
194	1734	44
195	1742	35
196	1751	26
197	1761	17
198	1770	8
199	1779	0
